Project__c,Salesforce_Field_Name__c,Third_Party_Field_Name__c,Target_Field_Type__c,Exclude_from_su__c,Exclude_from_tpu__c
a0o2w000000aGMQAA2,copado__Status__c,status,object,FALSE,FALSE
a0o2w000000aGMQAA2,copado__Developer__c,developer,,FALSE,TRUE
a0o2w000000aGMQAA2,copado__Functional_Specifications__c,description,,FALSE,FALSE
a0o2w000000aGMQAA2,copado__User_Story_Title__c,summary,,FALSE,FALSE
a0o2w000000aGMQAA2,copado__userStory_Role__c,issuetype,object,FALSE,FALSE
a0o2w000000aGMQAA2,JIRA_Key__c,key,,FALSE,TRUE
a0o2w000000aGMQAA2,copado__Project__c,projectId,,FALSE,TRUE
a0o2w000000aGMQAA2,External_Id__c,id,,FALSE,TRUE
